Date,N,windows_1,scaled_windows_1,MSE_lstm_1,RMSE_lstm_1
0,0.0,50.0,1.0,0.0,0.0
1,0.0,100.0,1.0,0.0,0.0
2,0.0,150.0,1.0,0.0,0.0
3,-0.8263876,200.0,1.0,0.0,0.0
4,-0.7565534,250.0,1.0,0.0,0.0
5,0.99410635,300.0,1.0,0.0,0.0
6,1.4759738,350.0,1.0,0.0,0.0
7,1.4665073,400.0,1.0,0.0,0.0
8,1.030595,450.0,1.0,0.0,0.0
9,0.66138494,400.0,0.8,0.0,0.0
10,-0.75202537,200.0,0.36363636363636365,0.0,0.0
11,-2.1638772,200.0,0.3333333333333333,0.0,0.0
12,-2.7331438,200.0,0.3076923076923077,0.0,0.0
13,-2.1042228,200.0,0.2857142857142857,0.0,0.0
14,-2.0772235,300.0,0.4,0.0,0.0
15,-1.8416369,300.0,0.375,0.0,0.0
16,-1.0735347,400.0,0.47058823529411764,0.0,0.0
17,-0.5735183,500.0,0.5555555555555556,0.0,0.0
18,0.07437904,400.0,0.42105263157894735,0.0,0.0
19,0.115596704,600.0,0.6,0.0,0.0
20,1.0400323,600.0,0.5714285714285714,0.0,0.0
21,0.04897327,200.0,0.18181818181818182,0.0,0.0
22,0.23704545,200.0,0.17391304347826086,0.0,0.0
23,-0.23678519,200.0,0.16666666666666666,0.0,0.0
24,1.2435979,200.0,0.16,0.0,0.0
25,0.43662053,300.0,0.23076923076923078,0.0,0.0
26,-0.08450583,300.0,0.2222222222222222,0.0,0.0
27,-0.52512014,400.0,0.2857142857142857,0.0,0.0
28,0.12691885,400.0,0.27586206896551724,0.0,0.0
29,0.5044845,500.0,0.3333333333333333,0.0,0.0
30,-1.1787916,,,,
31,-1.3435054,,,,
32,-1.0021563,,,,
33,-0.28146383,,,,
34,1.0921484,,,,
35,-0.43720844,,,,
36,0.5450673,,,,
37,-0.15103151,,,,
38,0.31627077,,,,
39,1.2019672,,,,
40,0.21103133,,,,
41,0.5914566,,,,
42,1.8648037,,,,
43,1.7027352,,,,
44,2.4514391,,,,
45,1.600315,,,,
46,1.6219676,,,,
47,0.7328364,,,,
48,-0.15713897,,,,
49,0.7782691,,,,
50,0.19890419,,,,
51,0.36684337,,,,
52,1.8434714,,,,
53,2.464088,,,,
54,4.223812,,,,
55,3.0650244,,,,
56,2.035438,,,,
57,3.5071974,,,,
58,3.926071,,,,
59,3.0561936,,,,
60,1.5199177,,,,
61,2.1792853,,,,
62,3.3410413,,,,
63,3.9465191,,,,
64,3.1783834,,,,
65,4.0085936,,,,
66,3.5488503,,,,
67,2.3547626,,,,
68,2.968504,,,,
69,3.9608612,,,,
70,2.7381275,,,,
71,2.9834046,,,,
72,2.9700713,,,,
73,3.1506608,,,,
74,3.0319924,,,,
75,1.5651944,,,,
76,3.3446887,,,,
77,2.7950215,,,,
78,1.754956,,,,
79,1.9923462,,,,
80,1.8138301,,,,
81,1.784903,,,,
82,0.9040753,,,,
83,0.04853787,,,,
84,0.6699693,,,,
85,-0.68597513,,,,
86,-0.41297284,,,,
87,-0.19361068,,,,
88,-3.02947,,,,
89,-2.3600433,,,,
90,-3.4007132,,,,
91,-3.7949333,,,,
92,-2.9576232,,,,
93,-3.473053,,,,
94,-3.2312617,,,,
95,-3.994057,,,,
96,-4.096346,,,,
97,-3.4802074,,,,
98,-4.297447,,,,
99,-4.014283,,,,
100,-4.1873064,,,,
101,-3.6901302,,,,
102,-3.6693497,,,,
103,-3.492621,,,,
104,-4.076989,,,,
105,-3.8784127,,,,
106,-4.516839,,,,
107,-3.4427872,,,,
108,-5.775972,,,,
109,-6.5545387,,,,
110,-5.386258,,,,
111,-4.687825,,,,
112,-4.6321864,,,,
113,-4.521388,,,,
114,-4.968749,,,,
115,-4.8048887,,,,
