Date,N,windows_1,scaled_windows_1,MSE_lstm_1,RMSE_lstm_1,bootstrap_strategy,num_bootstrap,alpha,n_0,jump
0,0.0,10.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
1,0.0,20.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
2,0.0,30.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
3,-0.8263876,40.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
4,-0.7565534,50.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
5,0.99410635,60.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
6,1.4759738,70.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
7,1.4665073,80.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
8,1.030595,90.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
9,0.66138494,100.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
10,-0.75202537,110.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
11,-2.1638772,120.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
12,-2.7331438,106.0,0.8153846153846154,0.0,0.0,load_precomputed,200,0.95,75,10
13,-2.1042228,140.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
14,-2.0772235,150.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
15,-1.8416369,160.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
16,-1.0735347,170.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
17,-0.5735183,180.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
18,0.07437904,190.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
19,0.115596704,200.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
20,1.0400323,210.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
21,0.04897327,220.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
22,0.23704545,230.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
23,-0.23678519,240.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
24,1.2435979,250.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
25,0.43662053,260.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
26,-0.08450583,270.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
27,-0.52512014,280.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
28,0.12691885,290.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
29,0.5044845,300.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
30,-1.1787916,310.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
31,-1.3435054,320.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
32,-1.0021563,330.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
33,-0.28146383,340.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
34,1.0921484,350.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
35,-0.43720844,360.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
36,0.5450673,370.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
37,-0.15103151,380.0,1.0,0.0,0.0,load_precomputed,200,0.95,75,10
