Date,N,windows_1,scaled_windows_1,MSE_lstm_1,RMSE_lstm_1
0,0.0,1,1.0,0,0
1,0.0,2,1.0,0,0
2,0.0,3,1.0,0,0
3,-0.76266843,4,1.0,0,0
4,-0.44637457,5,1.0,0,0
5,0.20240168,6,1.0,0,0
6,0.44507453,7,1.0,0,0
7,-0.9755944,8,1.0,0,0
8,-2.1935818,9,1.0,0,0
9,-2.2984571,10,1.0,0,0
10,-3.855723,11,1.0,0,0
11,-4.075316,12,1.0,0,0
12,-4.2379484,13,1.0,0,0
13,-4.5041265,14,1.0,0,0
14,-2.9044983,15,1.0,0,0
15,-3.5583093,16,1.0,0,0
16,-1.9087901,17,1.0,0,0
17,-1.9591957,18,1.0,0,0
18,-1.7591102,19,1.0,0,0
19,-0.54802454,20,1.0,0,0
20,-1.2183069,21,1.0,0,0
21,-0.5004288,22,1.0,0,0
22,-0.5160598,23,1.0,0,0
23,-2.024828,24,1.0,0,0
24,-1.784801,25,1.0,0,0
25,-2.4697225,26,1.0,0,0
26,-2.8444738,27,1.0,0,0
27,-0.06337191,28,1.0,0,0
28,1.6296802,29,1.0,0,0
29,1.480235,30,1.0,0,0
30,0.57729584,31,1.0,0,0
31,-0.25849771,32,1.0,0,0
32,0.84828705,33,1.0,0,0
33,1.4036132,34,1.0,0,0
34,1.9937502,35,1.0,0,0
35,1.9059252,36,1.0,0,0
36,0.1854728,37,1.0,0,0
37,-0.54034996,38,1.0,0,0
38,-1.2947136,39,1.0,0,0
39,-4.582378,40,1.0,0,0
40,-5.7020283,41,1.0,0,0
41,-3.8149238,42,1.0,0,0
42,-4.797069,43,1.0,0,0
43,-3.1311707,44,1.0,0,0
44,-3.7264023,45,1.0,0,0
45,-4.6787744,46,1.0,0,0
46,-5.0710373,47,1.0,0,0
47,-4.1525693,48,1.0,0,0
48,-4.136637,49,1.0,0,0
49,-4.5485187,50,1.0,0,0
50,-3.27395,51,1.0,0,0
51,-2.4440293,52,1.0,0,0
52,-3.5427637,53,1.0,0,0
53,-4.968975,54,1.0,0,0
54,-4.144938,55,1.0,0,0
55,-3.6322112,56,1.0,0,0
56,-3.1327643,57,1.0,0,0
57,-4.1090045,58,1.0,0,0
58,-3.3785322,59,1.0,0,0
59,-4.3320684,60,1.0,0,0
60,-4.995906,61,1.0,0,0
61,-3.206764,62,1.0,0,0
62,-3.543756,63,1.0,0,0
63,-2.0081077,64,1.0,0,0
64,-2.4566693,65,1.0,0,0
65,-2.6216638,66,1.0,0,0
66,-0.7464693,67,1.0,0,0
67,-2.2046535,68,1.0,0,0
68,-0.6843136,69,1.0,0,0
69,0.14421742,70,1.0,0,0
70,0.35789844,71,1.0,0,0
71,0.8637609,72,1.0,0,0
72,1.0943811,73,1.0,0,0
73,-0.0031766081,74,1.0,0,0
74,-0.16075166,75,1.0,0,0
75,-1.1774745,76,1.0,0,0
76,-0.12575053,77,1.0,0,0
77,-1.1568936,78,1.0,0,0
