Date,N,windows_1,scaled_windows_1
0,0.0,,
1,0.0,,
2,0.0,,
3,-0.8263876,,
4,-0.7565534,,
5,0.99410635,,
6,1.4759738,,
7,1.4665073,,
8,1.030595,,
9,0.66138494,,
10,-0.75202537,,
11,-2.1638772,,
12,-2.7331438,,
13,-2.1042228,,
14,-2.0772235,,
15,-1.8416369,,
16,-1.0735347,,
17,-0.5735183,,
18,0.07437904,,
19,0.115596704,,
20,1.0400323,,
21,0.04897327,,
22,0.23704545,,
23,-0.23678519,,
24,1.2435979,,
25,0.43662053,,
26,-0.08450583,,
27,-0.52512014,,
28,0.12691885,,
29,0.5044845,,
30,-1.1787916,,
31,-1.3435054,,
32,-1.0021563,,
33,-0.28146383,,
34,1.0921484,,
35,-0.43720844,,
36,0.5450673,,
37,-0.15103151,,
38,0.31627077,,
39,1.2019672,,
40,0.21103133,,
41,0.5914566,,
42,1.8648037,,
43,1.7027352,,
44,2.4514391,,
45,1.600315,,
46,1.6219676,,
47,0.7328364,,
48,-0.15713897,,
49,0.7782691,,
50,0.19890419,,
51,0.36684337,,
52,1.8434714,,
53,2.464088,,
54,4.223812,,
55,3.0650244,,
56,2.035438,,
57,3.5071974,,
58,3.926071,,
59,3.0561936,,
60,1.5199177,,
61,2.1792853,,
62,3.3410413,,
63,3.9465191,,
64,3.1783834,,
65,4.0085936,,
66,3.5488503,,
67,2.3547626,,
68,2.968504,,
69,3.9608612,,
70,2.7381275,,
71,2.9834046,,
72,2.9700713,,
73,3.1506608,,
74,3.0319924,,
75,1.5651944,,
76,3.3446887,,
77,2.7950215,,
78,1.754956,,
79,1.9923462,,
80,1.8138301,,
81,1.784903,,
82,0.9040753,,
83,0.04853787,,
84,0.6699693,,
85,-0.68597513,,
86,-0.41297284,,
87,-0.19361068,,
88,-3.02947,,
89,-2.3600433,,
90,-3.4007132,,
91,-3.7949333,,
92,-2.9576232,,
93,-3.473053,,
94,-3.2312617,,
95,-3.994057,,
96,-4.096346,,
97,-3.4802074,,
98,-4.297447,,
99,-4.014283,,
100,-4.1873064,100.0,0.9900990099009901
101,-3.6901302,100.0,0.9803921568627451
102,-3.6693497,100.0,0.970873786407767
103,-3.492621,100.0,0.9615384615384616
104,-4.076989,100.0,0.9523809523809523
105,-3.8784127,100.0,0.9433962264150944
106,-4.516839,100.0,0.9345794392523364
107,-3.4427872,100.0,0.9259259259259259
108,-5.775972,100.0,0.9174311926605505
109,-6.5545387,100.0,0.9090909090909091
110,-5.386258,100.0,0.9009009009009009
111,-4.687825,100.0,0.8928571428571429
112,-4.6321864,100.0,0.8849557522123894
113,-4.521388,100.0,0.8771929824561403
114,-4.968749,100.0,0.8695652173913043
115,-4.8048887,100.0,0.8620689655172413
116,-3.9685824,100.0,0.8547008547008547
117,-2.6779997,100.0,0.847457627118644
118,-1.6649975,100.0,0.8403361344537815
119,-1.2771536,100.0,0.8333333333333334
120,-2.5233912,100.0,0.8264462809917356
121,-3.36651,100.0,0.819672131147541
122,-3.9261754,100.0,0.8130081300813008
123,-4.5310497,100.0,0.8064516129032258
124,-4.3145537,100.0,0.8
125,-5.3179116,100.0,0.7936507936507936
126,-3.8150632,100.0,0.7874015748031497
127,-5.515747,100.0,0.78125
128,-5.1417255,100.0,0.7751937984496124
129,-3.513879,100.0,0.7692307692307693
130,-2.9491713,100.0,0.7633587786259542
131,-0.32023284,100.0,0.7575757575757576
132,1.5865649,100.0,0.7518796992481203
133,2.9623897,100.0,0.746268656716418
134,3.0473063,100.0,0.7407407407407407
135,2.2399175,100.0,0.7352941176470589
136,1.6976391,100.0,0.7299270072992701
137,2.1087172,100.0,0.7246376811594203
138,2.1964488,100.0,0.7194244604316546
139,3.4197736,100.0,0.7142857142857143
140,1.208653,100.0,0.7092198581560284
141,3.4394631,100.0,0.704225352112676
142,2.919018,100.0,0.6993006993006993
143,3.436371,100.0,0.6944444444444444
144,1.9654346,100.0,0.6896551724137931
145,2.2743168,100.0,0.684931506849315
146,2.9248936,100.0,0.6802721088435374
147,1.19972,100.0,0.6756756756756757
148,1.1330736,100.0,0.6711409395973155
149,0.89256185,100.0,0.6666666666666666
150,1.6589769,100.0,0.6622516556291391
151,3.523136,100.0,0.6578947368421053
152,3.3006234,100.0,0.6535947712418301
153,2.8641899,100.0,0.6493506493506493
154,2.257529,100.0,0.6451612903225806
155,2.5628853,100.0,0.6410256410256411
156,3.5127292,100.0,0.6369426751592356
157,3.9849017,100.0,0.6329113924050633
158,3.743808,100.0,0.6289308176100629
159,2.4804013,100.0,0.625
160,1.461493,100.0,0.6211180124223602
161,1.1336982,100.0,0.6172839506172839
162,-0.28886905,100.0,0.6134969325153374
163,-1.2120106,100.0,0.6097560975609756
164,-2.3852842,100.0,0.6060606060606061
165,-1.951294,100.0,0.6024096385542169
166,-1.3913656,100.0,0.5988023952095808
167,-0.5866894,100.0,0.5952380952380952
168,0.23535763,100.0,0.591715976331361
169,0.8778588,100.0,0.5882352941176471
170,-0.061971113,100.0,0.5847953216374269
171,-1.1557788,100.0,0.5813953488372093
172,-0.53160536,100.0,0.5780346820809249
173,-1.0192686,100.0,0.5747126436781609
174,1.1209533,100.0,0.5714285714285714
175,1.4048423,100.0,0.5681818181818182
176,-0.59815145,100.0,0.5649717514124294
177,1.0747696,100.0,0.5617977528089888
178,-0.0007393214,100.0,0.5586592178770949
179,0.96121615,100.0,0.5555555555555556
180,0.15024605,100.0,0.5524861878453039
181,0.2484932,100.0,0.5494505494505495
182,-1.5512348,100.0,0.546448087431694
183,-1.2992615,100.0,0.5434782608695652
184,-1.9748409,100.0,0.5405405405405406
185,-1.3809893,100.0,0.5376344086021505
186,1.15435,100.0,0.5347593582887701
187,-0.187468,100.0,0.5319148936170213
188,-0.069652125,100.0,0.5291005291005291
189,-0.4511933,100.0,0.5263157894736842
190,-0.17732716,100.0,0.5235602094240838
191,-1.9449339,100.0,0.5208333333333334
192,-4.89247,100.0,0.5181347150259067
193,-5.4261236,100.0,0.5154639175257731
194,-4.372837,100.0,0.5128205128205128
195,-3.6900003,100.0,0.5102040816326531
196,-3.1157346,100.0,0.5076142131979695
197,-2.5216668,100.0,0.5050505050505051
198,-1.3435928,100.0,0.5025125628140703
199,-1.2963347,141.0,0.705
200,-1.4775891,141.0,0.7014925373134329
201,-3.003431,141.0,0.698019801980198
202,-3.4202993,141.0,0.6945812807881774
203,-3.9569225,141.0,0.6911764705882353
204,-2.3898091,141.0,0.6878048780487804
205,-1.4676968,141.0,0.6844660194174758
206,1.2517582,141.0,0.6811594202898551
207,0.6062184,141.0,0.6778846153846154
208,0.6373277,141.0,0.6746411483253588
209,0.9373379,141.0,0.6714285714285714
210,0.5144776,141.0,0.6682464454976303
211,-0.4981845,141.0,0.6650943396226415
212,-0.6046906,141.0,0.6619718309859155
