k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,200,59,100,92.93174803043233,98.65022691148067,63.531232365185836,7.264175000946932,1.3293793251414088,0.25
2,200,282,82,141,125.50659481514593,132.8910579654521,86.04175733429949,9.570718851974007,1.2943525056288687,0.25
3,282,400,118,200,168.61178022450645,170.2861671133043,117.42773843529977,11.094808727189728,1.255282277186673,0.25
4,400,565,165,283,230.2971077370237,239.309108824224,173.7666376154704,9.813904266784933,1.2081386527894244,0.25
5,565,800,235,400,325.1945066740061,334.8730422222087,269.0550123419732,9.005692747972978,1.147433458830053,0.25
6,800,1131,331,566,411.5623125823713,417.79866325991344,394.1097008511849,8.21316345668872,1.0,0.25
