k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std
1,141,200,59,100,69.90611804538707,74.20773367374812,63.531232365185836,7.264175000946932
2,200,282,82,141,96.96477139677481,102.66991208927756,86.04175733429949,9.570718851974007
3,282,400,118,200,134.32180417809897,135.65567698043827,117.42773843529977,11.094808727189728
4,400,565,165,283,190.62142180891212,198.08083142749592,173.7666376154704,9.813904266784933
5,565,800,235,400,283.41033998222537,291.84528274402265,269.0550123419732,9.005692747972978
6,800,1131,331,566,411.5623125823713,417.79866325991344,394.1097008511849,8.21316345668872
