,windows
964,385
965,440
966,400
967,460
968,445
969,390
970,420
971,390
972,500
973,470
974,450
975,465
976,500
977,430
978,455
979,535
980,500
981,525
982,405
983,480
984,530
985,480
986,500
987,485
988,495
989,505
990,515
991,455
992,450
993,550
994,410
995,450
996,425
997,450
998,390
999,505
1000,445
1001,500
1002,455
1003,440
1004,405
1005,455
1006,455
1007,475
1008,305
1009,430
1010,410
1011,390
1012,390
1013,380
1014,430
1015,350
1016,335
1017,375
1018,310
1019,345
1020,410
1021,405
1022,285
1023,290
1024,370
1025,325
1026,255
1027,380
1028,265
1029,365
1030,295
1031,360
1032,330
1033,295
1034,250
1035,400
1036,340
1037,400
1038,210
1039,365
1040,275
1041,250
1042,330
1043,270
1044,295
1045,220
1046,200
1047,285
1048,255
1049,310
1050,320
1051,210
1052,205
1053,265
1054,200
1055,260
1056,255
1057,300
1058,160
1059,130
1060,125
1061,300
1062,160
1063,220
1064,225
1065,215
1066,235
1067,180
1068,135
1069,175
1070,180
1071,145
1072,175
1073,240
1074,200
1075,190
1076,235
1077,235
1078,185
1079,180
1080,175
1081,185
1082,260
1083,250
1084,180
1085,240
1086,215
1087,185
1088,150
1089,230
1090,220
1091,185
1092,170
1093,205
1094,175
1095,165
1096,155
1097,180
1098,140
1099,180
1100,145
1101,190
1102,175
1103,180
1104,180
1105,165
1106,130
1107,195
1108,185
1109,235
1110,220
1111,160
1112,220
1113,145
1114,175
1115,175
1116,165
1117,165
1118,170
1119,210
1120,225
1121,160
1122,160
1123,195
1124,150
1125,200
1126,150
1127,195
1128,170
1129,185
1130,160
1131,190
1132,210
1133,150
1134,155
1135,195
1136,160
1137,160
1138,220
1139,155
1140,195
1141,210
1142,160
1143,195
1144,250
1145,165
1146,145
1147,170
1148,160
1149,165
1150,165
1151,160
1152,150
1153,205
1154,165
1155,170
1156,180
1157,210
1158,170
1159,160
1160,220
1161,175
1162,175
1163,225
1164,205
1165,170
1166,170
1167,165
1168,185
1169,190
1170,185
1171,190
1172,195
1173,205
1174,200
1175,190
1176,180
1177,190
1178,205
1179,185
1180,195
1181,195
1182,190
1183,190
1184,195
1185,205
1186,205
1187,205
1188,180
1189,195
1190,190
1191,205
1192,195
1193,205
1194,200
1195,190
1196,200
1197,195
1198,200
1199,205
1200,195
1201,200
1202,200
1203,215
1204,200
1205,220
1206,215
1207,220
1208,210
1209,215
1210,200
1211,230
1212,220
1213,215
1214,230
1215,235
1216,220
1217,215
1218,235
1219,235
1220,245
1221,245
1222,240
1223,235
1224,250
1225,225
1226,235
1227,225
1228,235
1229,240
1230,235
1231,245
1232,235
1233,240
1234,240
1235,240
1236,240
1237,245
1238,245
1239,245
1240,235
1241,255
1242,240
1243,250
1244,240
1245,260
1246,235
1247,220
1248,255
1249,250
1250,250
1251,240
1252,260
1253,255
1254,260
1255,255
1256,240
1257,260
1258,240
1259,245
1260,280
1261,275
1262,255
1263,260
1264,260
1265,290
1266,270
1267,270
1268,280
1269,265
1270,280
1271,270
1272,255
1273,260
1274,300
1275,265
1276,275
1277,250
1278,270
1279,265
1280,280
1281,280
1282,295
1283,265
1284,290
1285,265
1286,265
1287,260
1288,270
1289,285
1290,305
1291,290
1292,290
1293,295
1294,285
1295,300
1296,295
1297,290
1298,305
1299,305
1300,295
1301,305
1302,290
1303,245
1304,310
1305,295
1306,305
1307,310
1308,280
1309,295
1310,305
1311,310
1312,285
1313,300
1314,295
1315,320
1316,320
1317,325
1318,290
1319,305
1320,315
1321,340
1322,330
1323,325
1324,335
1325,320
1326,340
1327,340
1328,320
1329,350
1330,340
1331,335
1332,350
1333,325
1334,335
1335,350
1336,340
1337,340
1338,350
1339,345
1340,340
1341,350
1342,345
1343,345
1344,340
1345,355
1346,335
1347,350
1348,340
1349,335
1350,360
1351,350
1352,360
1353,340
1354,340
1355,330
1356,355
1357,360
1358,355
1359,340
1360,335
1361,360
1362,315
1363,360
1364,345
1365,360
1366,340
1367,370
1368,350
1369,350
1370,370
1371,390
1372,370
1373,360
1374,340
1375,375
1376,340
1377,350
1378,375
1379,385
1380,380
1381,370
1382,385
1383,385
1384,385
1385,370
1386,380
1387,385
1388,395
1389,370
1390,395
1391,405
1392,385
1393,405
1394,405
1395,370
1396,375
1397,325
1398,395
1399,395
1400,350
1401,400
1402,385
1403,370
1404,385
1405,395
1406,395
1407,375
1408,330
1409,390
1410,370
1411,360
1412,360
1413,375
1414,365
1415,390
1416,405
1417,390
1418,360
1419,365
1420,380
1421,375
1422,370
1423,395
1424,380
1425,350
1426,400
1427,400
1428,390
1429,360
1430,385
1431,400
1432,365
1433,400
1434,385
1435,390
1436,385
1437,370
1438,410
1439,400
1440,435
1441,435
1442,415
1443,425
1444,410
1445,375
1446,400
1447,380
1448,405
1449,375
1450,370
1451,385
1452,380
1453,395
1454,395
1455,430
1456,355
1457,370
1458,415
1459,415
1460,425
1461,415
1462,400
1463,310
1464,435
1465,405
1466,400
1467,405
1468,435
1469,395
1470,450
1471,435
1472,410
1473,435
1474,420
1475,475
1476,460
1477,445
1478,470
1479,425
1480,400
1481,465
1482,455
1483,405
1484,430
1485,430
1486,395
1487,485
1488,450
1489,385
1490,425
1491,400
1492,430
1493,455
1494,470
1495,445
1496,345
1497,440
1498,480
1499,430
