,windows
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,100
101,101
102,101
103,102
104,104
105,103
106,105
107,105
108,107
109,106
110,107
111,106
112,105
113,107
114,103
115,108
116,113
117,107
118,111
119,114
120,114
121,106
122,111
123,114
124,115
125,120
126,113
127,116
128,120
129,121
130,118
131,122
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,136
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
152,147
153,154
154,155
155,156
156,157
157,158
158,159
159,160
160,161
161,158
162,161
163,159
164,162
165,164
166,156
167,166
168,161
169,170
170,163
171,163
172,161
173,169
174,172
175,170
176,171
177,172
178,179
179,177
180,174
181,178
182,179
183,184
184,178
185,182
186,187
187,184
188,189
189,186
190,178
191,192
192,183
193,189
194,185
195,191
196,192
197,198
198,199
199,200
200,200
201,202
202,202
203,193
204,205
205,205
206,207
207,208
208,209
209,210
210,211
211,199
212,201
213,212
214,192
215,216
216,205
217,218
218,212
219,220
220,213
221,212
222,216
223,206
224,222
225,220
226,216
227,222
228,213
229,230
230,231
231,232
232,233
233,220
234,221
235,236
236,237
237,238
238,239
239,240
240,241
241,242
242,243
243,244
244,235
245,246
246,247
247,243
248,234
249,250
250,250
251,250
252,251
253,242
254,252
255,254
256,254
257,258
258,254
259,256
260,255
261,257
262,257
263,249
264,254
265,258
266,261
267,254
268,267
269,256
270,258
271,267
272,268
273,257
274,272
275,263
276,261
277,275
278,279
279,280
280,267
281,268
282,283
283,284
284,276
285,286
286,287
287,288
288,289
289,276
290,291
291,282
292,293
293,274
294,295
295,257
296,297
297,298
298,284
299,285
300,295
301,301
302,286
303,302
304,303
305,303
306,304
307,306
308,292
309,309
310,292
311,297
312,304
313,309
314,264
315,309
316,313
317,314
318,317
319,308
320,296
321,313
322,296
323,287
324,277
325,313
326,313
327,314
328,306
329,280
330,324
331,320
332,311
333,320
334,335
335,313
336,318
337,314
338,339
339,340
340,341
341,327
342,343
343,344
344,325
345,346
346,347
347,323
348,329
349,335
350,335
351,336
352,336
353,353
354,353
355,354
356,355
357,358
358,342
359,360
360,318
361,341
362,360
363,333
364,344
365,346
366,365
367,345
368,365
369,341
370,331
371,352
372,341
373,359
374,340
375,368
376,363
377,331
378,376
379,359
380,381
381,378
382,328
383,384
384,366
385,386
386,387
387,347
388,381
389,386
390,386
391,392
392,393
393,340
394,390
395,396
396,397
397,373
398,384
399,385
400,385
401,351
402,402
403,382
404,404
405,388
406,389
407,407
408,397
409,394
410,393
411,394
412,400
413,401
414,392
415,384
416,405
417,406
418,378
419,420
420,421
421,415
422,373
423,349
424,420
425,418
426,406
427,422
428,410
429,414
430,427
431,405
432,433
433,434
434,421
435,436
436,423
437,438
438,439
439,440
440,441
441,432
442,428
443,429
444,445
445,411
446,437
447,448
448,439
449,430
450,425
451,435
452,436
453,400
454,421
455,438
456,442
457,439
458,430
459,433
460,390
461,448
462,398
463,412
464,459
465,423
466,435
467,427
468,443
469,453
470,412
471,445
472,460
473,461
474,457
475,450
476,464
477,478
478,461
479,467
480,454
481,468
482,483
483,450
484,471
485,453
486,487
487,488
488,475
489,451
490,476
491,448
492,493
493,484
494,495
495,481
496,482
497,468
498,469
499,470
500,475
501,501
502,486
503,452
504,473
505,478
506,470
507,460
508,476
509,493
510,452
511,391
512,430
513,494
514,481
515,484
516,380
517,485
518,445
519,440
520,497
521,421
522,461
523,482
524,480
525,450
526,478
527,456
528,498
529,469
530,474
531,424
532,439
533,485
534,391
535,453
536,482
537,349
538,457
539,451
540,371
541,391
542,435
543,387
544,422
545,417
546,279
547,374
548,299
549,315
550,365
551,335
552,340
553,391
554,285
555,365
556,261
557,336
558,378
559,358
560,281
561,352
562,403
563,367
564,344
565,286
566,258
567,306
568,185
569,217
570,185
571,354
572,311
573,374
574,360
575,302
576,270
577,320
578,317
579,228
580,248
581,196
582,215
583,321
584,347
585,170
586,258
587,238
588,223
589,155
590,214
591,174
592,249
593,249
594,224
595,199
596,244
597,205
598,234
599,170
600,255
601,230
602,295
603,245
604,170
605,140
606,235
607,160
608,195
609,322
610,211
611,145
612,251
613,195
614,236
615,150
616,205
617,210
618,186
619,160
620,299
621,182
622,210
623,212
624,222
625,210
626,195
627,220
628,237
629,329
630,190
631,280
632,263
633,250
634,200
635,260
636,215
637,243
638,223
639,180
640,290
641,269
642,190
643,315
644,284
645,195
646,274
647,264
648,200
649,290
650,250
651,180
652,345
653,285
654,300
655,190
656,240
657,255
658,315
659,205
660,305
661,281
662,220
663,230
664,275
665,210
666,265
667,190
668,235
669,235
670,250
671,210
672,230
673,200
674,230
675,225
676,280
677,240
678,240
679,245
680,215
681,215
682,235
683,295
684,235
685,250
686,220
687,210
688,175
689,235
690,195
691,255
692,260
693,285
694,285
695,275
696,220
697,240
698,235
699,260
700,310
701,190
702,275
703,265
704,245
705,250
706,240
707,275
708,230
709,260
710,230
711,250
712,285
713,255
714,270
715,250
716,260
717,330
718,280
719,300
720,310
721,325
722,285
723,315
724,335
725,300
726,345
727,295
728,330
729,335
730,353
731,340
732,335
733,335
734,310
735,325
736,310
737,265
738,355
739,335
740,315
741,335
742,290
743,370
744,340
745,385
746,365
747,340
748,345
749,340
750,325
751,350
752,335
753,320
754,300
755,365
756,295
757,340
758,285
759,280
760,360
761,275
762,315
763,320
764,270
765,335
766,320
767,280
768,350
769,270
770,250
771,330
772,275
773,280
774,310
775,270
776,320
777,255
778,275
779,360
780,333
781,265
782,300
783,330
784,310
785,330
786,285
787,330
788,320
789,290
790,300
791,340
792,295
793,335
794,295
795,305
796,315
797,305
798,330
799,335
800,265
801,335
802,310
803,330
804,250
805,315
806,350
807,300
808,295
809,340
810,395
811,340
812,325
813,340
814,355
815,360
816,355
817,320
818,340
819,310
820,350
821,270
822,320
823,325
824,340
825,340
826,340
827,370
828,310
829,365
830,330
831,350
832,423
833,345
834,315
835,400
836,340
837,410
838,310
839,345
840,340
841,405
842,340
843,335
844,375
845,330
846,340
847,350
848,365
849,345
850,380
851,335
852,405
853,365
854,385
855,295
856,445
857,345
858,325
859,405
860,340
861,395
862,335
863,370
864,320
865,330
866,405
867,350
868,335
869,395
870,380
871,325
872,305
873,335
874,340
875,315
876,375
877,365
878,335
879,375
880,345
881,415
882,355
883,400
884,360
885,365
886,325
887,315
888,410
889,410
890,390
891,365
892,390
893,380
894,435
895,455
896,355
897,420
898,410
899,325
900,440
901,330
902,325
903,335
904,365
905,370
906,445
907,355
908,430
909,425
910,355
911,480
912,380
913,405
914,385
915,435
916,360
917,440
918,485
919,415
920,405
921,445
922,360
923,470
924,420
925,445
926,430
927,325
928,425
929,425
930,415
931,475
932,475
933,420
934,410
935,400
936,435
937,390
938,435
939,455
940,465
941,430
942,425
943,485
944,515
945,455
946,515
947,480
948,345
949,450
950,505
951,470
952,460
953,470
954,415
955,410
956,455
957,340
958,390
959,420
960,440
961,485
962,400
963,435
