Date,N,windows_1,scaled_windows_1,MSE_lstm_1,RMSE_lstm_1,bootstrap_strategy,num_bootstrap,alpha,n_0,jump
0,0.0,15.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
1,0.0,30.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
2,0.0,45.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
3,-0.8263876,60.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
4,-0.7565534,75.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
5,0.99410635,90.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
6,1.4759738,105.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
7,1.4665073,120.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
8,1.030595,135.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
9,0.66138494,150.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
10,-0.75202537,165.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
11,-2.1638772,180.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
12,-2.7331438,195.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
13,-2.1042228,210.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
14,-2.0772235,225.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
15,-1.8416369,240.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
16,-1.0735347,255.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
17,-0.5735183,270.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
18,0.07437904,285.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
19,0.115596704,300.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
20,1.0400323,315.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
21,0.04897327,330.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
22,0.23704545,345.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
23,-0.23678519,360.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
24,1.2435979,375.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
25,0.43662053,390.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
26,-0.08450583,405.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
27,-0.52512014,420.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
28,0.12691885,435.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
29,0.5044845,450.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
30,-1.1787916,465.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
31,-1.3435054,282.0,0.5875,0.0,0.0,precompute_robustified,30,0.95,100,15
32,-1.0021563,495.0,1.0,0.0,0.0,precompute_robustified,30,0.95,100,15
33,-0.28146383,282.0,0.5529411764705883,0.0,0.0,precompute_robustified,30,0.95,100,15
34,1.0921484,282.0,0.5371428571428571,0.0,0.0,precompute_robustified,30,0.95,100,15
35,-0.43720844,141.0,0.2611111111111111,0.0,0.0,precompute_robustified,30,0.95,100,15
36,0.5450673,141.0,0.25405405405405407,0.0,0.0,precompute_robustified,30,0.95,100,15
37,-0.15103151,141.0,0.24736842105263157,0.0,0.0,precompute_robustified,30,0.95,100,15
38,0.31627077,282.0,0.48205128205128206,0.0,0.0,precompute_robustified,30,0.95,100,15
39,1.2019672,141.0,0.235,0.0,0.0,precompute_robustified,30,0.95,100,15
40,0.21103133,200.0,0.3252032520325203,0.0,0.0,precompute_robustified,30,0.95,100,15
41,0.5914566,282.0,0.44761904761904764,0.0,0.0,precompute_robustified,30,0.95,100,15
42,1.8648037,282.0,0.4372093023255814,0.0,0.0,precompute_robustified,30,0.95,100,15
43,1.7027352,282.0,0.42727272727272725,0.0,0.0,precompute_robustified,30,0.95,100,15
44,2.4514391,282.0,0.4177777777777778,0.0,0.0,precompute_robustified,30,0.95,100,15
45,1.600315,282.0,0.40869565217391307,0.0,0.0,precompute_robustified,30,0.95,100,15
46,1.6219676,282.0,0.4,0.0,0.0,precompute_robustified,30,0.95,100,15
